CHAVE_PRESTADOR;GRUPO
550000418;INTERCÂMBIO
550000429;INTERCÂMBIO
550000440;INTERCÂMBIO
550000451;INTERCÂMBIO
550000462;INTERCÂMBIO
550000473;INTERCÂMBIO
550001155;INTERCÂMBIO
550001177;INTERCÂMBIO
550001188;INTERCÂMBIO
550001210;INTERCÂMBIO
550001221;INTERCÂMBIO
550001232;INTERCÂMBIO
550001254;INTERCÂMBIO
550001243;INTERCÂMBIO
550001265;INTERCÂMBIO
550001276;INTERCÂMBIO
550001287;INTERCÂMBIO
550000077;INTERCÂMBIO
550000088;INTERCÂMBIO
550000099;INTERCÂMBIO
550000110;INTERCÂMBIO
550000121;INTERCÂMBIO
550000803;INTERCÂMBIO
550000814;INTERCÂMBIO
550000825;INTERCÂMBIO
550000836;INTERCÂMBIO
550000858;INTERCÂMBIO
550000869;INTERCÂMBIO
550000880;INTERCÂMBIO
550000891;INTERCÂMBIO
550000913;INTERCÂMBIO
550000924;INTERCÂMBIO
550000946;INTERCÂMBIO
550000979;INTERCÂMBIO
550000990;INTERCÂMBIO
550001001;INTERCÂMBIO
550001012;INTERCÂMBIO
550001023;INTERCÂMBIO
550001034;INTERCÂMBIO
550001045;INTERCÂMBIO
550001056;INTERCÂMBIO
550001078;INTERCÂMBIO
550001089;INTERCÂMBIO
550001111;INTERCÂMBIO
550001298;INTERCÂMBIO
550001309;INTERCÂMBIO
550001320;INTERCÂMBIO
550001331;INTERCÂMBIO
550001342;INTERCÂMBIO
24585;CREDENCIADO
550000484;INTERCÂMBIO
550000495;INTERCÂMBIO
550000506;INTERCÂMBIO
550000517;INTERCÂMBIO
550000528;INTERCÂMBIO
550000539;INTERCÂMBIO
550000550;INTERCÂMBIO
550000561;INTERCÂMBIO
550000572;INTERCÂMBIO
550000583;INTERCÂMBIO
550000594;INTERCÂMBIO
550000605;INTERCÂMBIO
550000616;INTERCÂMBIO
550000627;INTERCÂMBIO
550000638;INTERCÂMBIO
550000649;INTERCÂMBIO
550000660;INTERCÂMBIO
550000671;INTERCÂMBIO
550000682;INTERCÂMBIO
550000693;INTERCÂMBIO
550000704;INTERCÂMBIO
550000715;INTERCÂMBIO
550000737;INTERCÂMBIO
550000748;INTERCÂMBIO
550000759;INTERCÂMBIO
550001375;INTERCÂMBIO
550001353;INTERCÂMBIO
550001364;INTERCÂMBIO
550001386;INTERCÂMBIO
550001397;INTERCÂMBIO
550002277;INTERCÂMBIO
550002310;INTERCÂMBIO
550002343;INTERCÂMBIO
550002376;INTERCÂMBIO
550002398;INTERCÂMBIO
550002420;INTERCÂMBIO
550002442;INTERCÂMBIO
550002475;INTERCÂMBIO
550002508;INTERCÂMBIO
550002541;INTERCÂMBIO
550002563;INTERCÂMBIO
550002596;INTERCÂMBIO
550002629;INTERCÂMBIO
550002662;INTERCÂMBIO
550002684;INTERCÂMBIO
550002717;INTERCÂMBIO
550002750;INTERCÂMBIO
550002772;INTERCÂMBIO
550002827;INTERCÂMBIO
550002838;INTERCÂMBIO
550002849;INTERCÂMBIO
550002871;INTERCÂMBIO
550002915;INTERCÂMBIO
550002937;INTERCÂMBIO
2945426;NÃO-CREDENCIADO
2945415;NÃO-CREDENCIADO
2945404;NÃO-CREDENCIADO
2945393;NÃO-CREDENCIADO
2945382;NÃO-CREDENCIADO
2945371;NÃO-CREDENCIADO
2945360;NÃO-CREDENCIADO
2945349;NÃO-CREDENCIADO
2945327;NÃO-CREDENCIADO
2945316;NÃO-CREDENCIADO
2945305;NÃO-CREDENCIADO
2945294;NÃO-CREDENCIADO
2945283;NÃO-CREDENCIADO
56111;CLINICA-TERAPIAS
550001419;INTERCÂMBIO
